id,name,category,description,subcategories,priority,data_type,applicable_context,subcategory_count,is_primary,evaluation_difficulty,related_facet_ids
1,Facets,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[2, 3, 4, 5, 6]"
2,Risktaking,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 3, 4, 5, 6]"
3,Naivety,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 4, 5, 6]"
4,Acidity,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 5, 6]"
5,Democratic Leadership,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 6]"
6,Common-sense,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
7,Hesitation,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
8,Discontentment,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
9,Overprotectiveness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
10,Merriness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
11,Emotionalism,emotion,Evaluation facet for assessing conversation quality on emotion,[],medium,ordinal,both,0,False,high,"[17, 49, 77, 85, 116]"
12,Self-improvement,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
13,Statistical Reasoning,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[26, 37, 55, 58, 74]"
14,Assertiveness and control in relationships,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
15,Cunningness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
16,Adventure-Seeking Behavior,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[70, 92, 97, 99, 112]"
17,Compassion Fatigue,emotion,Evaluation facet for assessing conversation quality on emotion,[],medium,ordinal,both,0,False,high,"[11, 49, 77, 85, 116]"
18,Moroseness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
19,Specialist,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
20,Aloofness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
21,Genuine,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
22,Determinedness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
23,HonestyHumility,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
24,Relationship Building Themes,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
25,Pure Challenge,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
26,Numerical Reasoning Subcomponents,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[13, 37, 55, 58, 74]"
27,Openness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
28,SelfEsteem,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
29,Comparing alphanumeric data,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
30,Big-heartedness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
31,Compulsive activities,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
32,Disrespect,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
33,FSH level,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
34,Self Perspective,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
35,Desperation,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
36,Affiliation Motivation,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
37,Anatomy knowledge,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[13, 26, 55, 58, 74]"
38,Passive-Aggressive,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
39,Presence of Spiritual Pain,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
40,Role of Spirituality in Community Involvement,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
41,Structure,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
42,Eco-tourism trips,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
43,Chivalrousness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
44,Pilgrimage participation count,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
45,Mindfulness facet: Observing,unknown,Evaluation facet for assessing conversation quality on unknown,['Observing'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
46,Submissiveness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
47,Training-cycle length,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
48,Sensitiveness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
